"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-el-gr-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","69","projectedEcbRateRiseIn5Years page | projectedUSInterestRatesLink | projectedUSInterestRatesLink","chromium-SCB-ar-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","167","projectedEcbRateRiseIn5Years page | projectedUSInterestRatesLink | projectedUSInterestRatesLink","chromium-SCB-es-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","44","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CySEC-hu-hu-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7272","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-CMA-ar-authorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","46","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CySEC-fr-fr-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","139","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CySEC-de-at-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","45","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CySEC-hu-hu-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","71","projectedEcbRateRiseIn5Years page | projectedUSInterestRatesLink | projectedUSInterestRatesLink","chromium-SCB-en-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","133","helpCentreMyAccount page | socialMediaMyAccountBlock | twitterIcon","chromium-CMA-ar-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","129","projectedEcbRateRiseIn5Years page | projectedUSInterestRatesLink | projectedUSInterestRatesLink","chromium-SCB-mn-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","8190","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-ASIC-en-authorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","35","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-de-de-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","45","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-ro-ro-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","66","iagCfdInstrument page | fyLink | fyLink","chromium-SCB-ru-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","48","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-SCB-mn-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
